rspd_id,model_id,purchase
26118,707,0
26120,562,1
26121,562,1
26121,780,0
26128,559,1
26128,707,0
26133,562,1
26133,780,0
26135,562,1
26141,555,1
26141,562,0
26141,324,0
26143,562,1
26143,559,0
26144,562,1
26144,707,0
26145,562,1
26145,707,0
26146,563,1
26146,562,0
26152,562,1
26152,779,0
26153,563,1
26153,707,0
26155,562,1
26155,324,0
26157,562,1
26157,351,0
26158,562,1
26158,707,0
26160,562,1
26160,707,0
26164,562,1
26164,226,0
26165,562,1
26165,699,0
26167,559,1
26167,707,0
26169,562,1
26169,226,0
26171,562,1
26171,779,0
26181,32,1
26181,102,0
26182,562,1
26182,726,0
26182,707,0
26188,562,1
26188,707,0
26188,302,0
26190,562,1
26190,102,0
26190,32,0
26191,562,1
26191,32,0
26191,102,0
26205,487,1
26205,779,0
26205,324,0
26208,178,1
26208,779,0
26208,354,0
26210,178,1
26210,707,0
26210,779,0
26220,802,1
26220,102,0
26220,32,0
26221,603,1
26221,309,0
26221,779,0
26225,562,1
26225,707,0
26225,779,0
26227,562,1
26227,16,0
26227,505,0
26268,559,1
26268,707,0
26272,487,1
26272,340,0
26272,302,0
26276,562,1
26276,707,0
26278,562,1
26278,324,0
26281,418,1
26281,102,0
26281,32,0
26289,615,1
26289,16,0
26289,707,0
26293,486,1
26293,707,0
26293,779,0
26304,554,1
26304,603,0
26304,707,0
26311,418,1
26311,415,0
26311,650,0
26321,562,1
26321,351,0
26346,606,1
26346,580,0
26346,16,0
26398,562,1
26398,779,0
26398,324,0
26400,558,1
26400,102,0
26400,650,0
26402,715,1
26402,673,0
26402,291,0
26431,487,1
26431,697,0
26439,473,1
26439,102,0
26441,487,1
26441,559,0
26450,562,1
26450,440,0
26450,324,0
26452,372,1
26452,650,0
26452,32,0
26468,558,1
26468,562,0
26468,324,0
26473,562,1
26473,351,0
26479,487,1
26479,324,0
26479,598,0
26484,562,1
26484,324,0
26484,699,0
26485,562,1
26485,296,0
26493,562,1
26493,351,0
26498,487,1
26498,16,0
26499,558,1
26499,291,0
26502,562,1
26502,324,0
26504,562,1
26504,351,0
26504,699,0
26506,562,1
26506,583,0
26506,699,0
26516,487,1
26516,16,0
